,reviews,stars,date,country
10,LHR-HKG on the new A380 in premium economy and it was a great trip staff were friendly and the food was very good for a gluten free meal. The only thing that I think they could improve on which Cathay has is the dedicated check in and boarding for there flights other than that it was an enjoyable trip.,2,17th September 2014,Australia
11,I recently travelled with a friend to St Lucia and have to say that BA has once again surpassed my expectations. My travelling companion and I had booked World Traveller Plus and we were delighted to be upgraded to Club Class. The cabin crew were polite and attentive without being intrusive. We were also upgraded on our return and once again the high standards set on the initial journey were matched.,9,17th September 2014,United Kingdom
12,LGW-MCO-SEA-LHR. Seats booked during Club World sale window - so reasonable priced. Check in at Gatwick very easy and through the fast track in about 5 mins. Boarded on time with short wait before take off. Staff on the outbound leg superb attentive without being intrusive food as ever palatable and overall great trip. Inbound Seattle - Heathrow. Lounge at Seattle is simply too small with insufficient seating however once on plane staff were again excellent although they appeared little rushed when compared with the outbound leg that may simply be because the CW cabin was more full. That said the high standards were maintained so a credit to the team in the CW cabin. Overall another good experience when travelling with BA.,10,17th September 2014,United Kingdom
13,I have flown LHR-BKK many times with EVA Emirates Oman and Qatar. Unfortunately this time I chose my National carrier. Disappointed is not the word. To start with the seating arrangement is absurd. All the others manage 1-2-1 or 2-2-2. BA manages 6 abreast in a horrible tight arrangement whereby you face your neighbour. When the hot towels were given out they were like warm rags in comparison to the other airlines. Food - ok there was a selection on the menu. However at service time I was merely passed a tray over my neighbour. On every Qatar flight you are not only addressed by your name but the table is made for you as if being in a 5* restaurant. None of this with BA. Once the appetiser and first course are consumed you hand the bowls back to the attendent who then passes your main course to you in a bowl. Shabby is not the word. After a reasonable sleep in a very narrow bed it was time for landing. With no sign of a priority immigration pass being given I asked the steward for one. He replied they did not have any for this flight but assured me there would be ground staff at the gate to supply this basic amenity. Stupidly I believed him. Upon departure at BKK no ground staff or passes. I return to the UK next week and for the first time ever I am dreading the experience. Never ever will I fly my national carrier again. Disgraceful. It's any Middle East airline again for me. Qatar being my preferred choice.,10,17th September 2014,United Kingdom
14,LBA-LHR. Checked in on-line and boarding pass on my phone so no need to encounter check-in. Fast track was average track and the lounge was busy with people going to the sunnier climes having paid for access. Food selection poor. Hot food limited to a self-toasted teacake. Gate near the lounge and quick boarding. We were in 01D and E but the friendly purser said 01F was free so we had the front row to ourselves. Early departure and swift climb. Service was excellent. The Purser addressed us by name offered us (several) drinks and a choice of snacks (crisps nuts or biscuits) (twice) on this short flight.,5,17th September 2014,United Kingdom
15,"If there is an alernative I will never fly BA again. I used to travel BA and it was wonderful now it is like an ""old"" airline. I flew from Seattle to London this summer on a 747 the leg room was not the best the plane looked tired and I was not impressed. I am disabled so it is difficult for me to travel anyway. When we went back to Heathrow I asked for help to get to my gate and I was put in a ""PEN"" with other disabled people waiting for our flights. No one told us that they do not send you down until your flight is getting due to leave. In that time we could have gone and had a meal. My flight back to Seattle was on a B777. The aisles were narrow and the seats very narrow. I am only 5'3"" but my knees touched the seat in front of me. It was very difficult for the people in the window and middle seats to get over me I had to get up out into the aisle for them to get out. Being disabled to be up and down is hard especially in such a small space to manoeuvre ones legs. When people in front reclined it was awful. The food that was served was absolutely rubbish. What happened to the good BA service of a few years ago. No more BA for me if I can help it.",9,17th September 2014,United States
16,My British Airways experience LHR to Paris CDG was excellent. I was travelling with an infant. The staff at LHR were so helpful and kind and went out of their way to help me. However it was a very different story on the way back. Everyone in Paris CDG was so rude. BA made me check-in my pushchair which meant I had to carry a 14month old boy (15kg) to the gate. It made my trip impossible. I pleaded with the man at check-in. There was no pre- boarding with infants. I will be taking the Eurostar never flying again especially not to Paris.,1,17th September 2014,United Kingdom
17,Economy from Jo'burg to LAX via Heathrow. Both flights on A380 and both full. Comfortable flights on time and great service on the planes. Main problem is at Heathrow. At Jo'burg excellent arrangements for boarding the flight - at Heathrow insufficient space and just chaotic. If Jo'burg can get it right surely BA can get it right at its premium hub - Heathrow? And when arriving at Heathrow the entrance to section c - where we landed - was closed so we were unable to transfer direct to the gates. Instead we had to take the transit to section a go through the long lines of security there and then go back to section c. No one from BA or BAA at the c gates to explain and when raised by BA customer service staff they were uninterested and as usual blamed BAA rather than taking responsibility. Shame as the service in the air and at other airports is usually very good.,1,17th September 2014,South Africa
18,Flew London City to Malaga return 28th August and 8th September respectively. Both flights on time on the wonderful little Embraer 190 such a nice plane to fly in only two seats either side of aisle loads of leg room and large windows. Full meal service in both directions with cooked breakfast on the morning flight out and good choice of rice or noodle salads on return lunchtime flight which is a huge improvement on the awful sandwiches they used to serve. Return flight made even better by superb approach over London down the Thames on a beautiful sunny afternoon - would pay good money for that part alone! Full marks for everything except had to score one for 'Inflight Entertainment' as there isn't any on this short flight and wouldn't really expect it.,7,14th September 2014,United Kingdom
19,LHR-EDI Used Avios to make short break to Edinburgh. Unlike transatlantic flights there were plenty of seats on offer even at short notice and we managed to get onto the flights we wanted. Both flights were on time (more or less) and both were on new A320 aircraft - bright and airy interiors with plenty of storage space for luggage. The drink and small bag of nuts while welcome is nothing to get excited about and seems more of a gimmick these days to distance BA from its budget airline rivals. Service levels both on the plane and on the ground were excellent throughout and I really enjoyed this domestic service.,10,14th September 2014,United Kingdom
20,Flew VIE to LHR Club Europe fantastic crew looking after the Club Europe cabin the only let down is the new revamped Club Europe Cabin. I really do not believe what BA is saying that this is what their European Passengers want! The seat pitch has now been reduced from 34 inches to 30 inches which used to be the Charter Airlines seat pitch years ago. If the passenger in front reclines their seat it is impossible to work on your laptop as there is no room. I really am not able to justify paying the Club Europe Fare for an economy class seat which is the most uncomfortable seat I have ever say in. A number of passengers were not impressed with the new cabin and all felt badly let down by BA. British Airways used to be a class above the rest now they are just an average low cost carrier but still charge the high fares BA really need to think seriously about the Club Europe layout they have added more seats so it is all about money & not about what their passengers really want.,9,14th September 2014,United Kingdom
21,First and last time flying with BA upgraded the 4 of us to Premium Economy at £199 each for 4 of us a complete waste of money. Have done this with Virgin on occasions for long haul flights and its so worth the money and not as expensive. Food terrible crew and staff not friendly no drinks offered only when handing out food. None of us could eat the food it was so bad. On a 9 hour flight we were hungry. Don't waste your money upgrading I wish I had read reviews before I left.,1,14th September 2014,Ireland
22,Flew SYD-SIN and had a reasonably comfortable trip. Problem is I didn't see much of the staff in premium economy and they were not very smiley either harassed looking. Service definitely down none of the goodies you used to get like snacks and plenty of water. Everyone rather terse I thought and not helpful. Not my favourite to fly. The aisle and seat space are for pixies not real people.,1,14th September 2014,Australia
23,Madrid-London on 9 September on Boeing 767 aircraft. No queue at check-in and welcoming polite and efficient agent. Priority tag applied to suitcase. Lounge experience at Barajas Terminal 4 was generally positive. Plenty of places to sit and relax; good selection of food and drinks with sandwiches some hot food ice cream fruit and a full bar. Priority boarding line worked well for business/status passengers. My main gripes are: old aircraft fairly surly crew and a consistent inability to monitor hand luggage (I saw several cases that were larger than the bag I checked in being forced into the overhead lockers). I was in seat 27A which as an exit row seat had plenty of leg room. Full bar service and a chicken tikka flatbread (and vegetarian equivalent) offered. Arrived at Terminal 5B. Bags arrived with minimal (less than 5 minute wait). Overall a decent experience - I will continue to fly with BA provided seats are available at a good price.,1,14th September 2014,United Kingdom
24,9/8/14 LHR-EWR in WC. Clean aircraft but moderate dysfunction of armrest foot stool and video screen. We find this seating configuration very uncomfortable and will avoid BA when possible. One FA spent this flight chatting w. friend to the blockage of aisle and detriment of service. Dinner was fairly horrid (beef) except for salad and cheese. Late departure and 40 min late arrival with no explanations given.,7,14th September 2014,United States
25,"LHR-MCT-LHR. Excellent outbound flight. Tasty food and wine very friendly cabin crew although the entertainment system isn't up to much in terms of choice. Different story on the way back though. Stand-offish cabin crew and no white champagne. Rose only as ""we haven't been fully catered"". Not a big thing but indicative of how slip shod BA can sometimes be these days. The seat is comfortable so I slept all the way back rather than try their food and drink.",2,9th September 2014,United Kingdom
26,Travelled YYZ-LHR-ARN and return in mid August. Check in at Pearson was a bit delayed (only one counter open 2-3 hrs before departure although it is advised that passengers arrive that early). Premium economy cabin inside the Boeing 787 (Dreamliner) is very pleasant and the flight from Toronto to London was very comfortable. Transfer at LHR T5 takes time is something I learned on this trip. 1hr connection is for sure pushing it and you're likely to miss your onward connection with anything less than 1.5 hrs transfer time. We missed our connection to ARN (our connection was only 1hr) because of the long line ups at the transfer centre. The fact that you go through security again in LHR takes some time as well. On my way back to Toronto check in at Stockholm's Arlanda Airport was easy and very smooth. The flight to LHR went fine and I had to spend almost an hour lining up at transfer centre going through security. This is the part of the transfer that for sure takes time. After a train ride to the C gates and a fairly smooth boarding I was onboard the flight to Toronto. I had been upgraded to Business class which was pleasant. Service onboard was professional and courteous. Landing in Toronto was a bit delayed due delayed take off from Heathrow. My overall w BA was good. However transfer in LHR is probably one of the more lengthier ones in Europe I think. I preferred the short transfer at KEF on my last trip to Sweden a few months ago.,5,9th September 2014,Canada
27,Flew BA 215 LHR-BOS in economy on an ageing 747. Flight was 45 minutes late taking off. Seat was uncomfortable and cramped.Meal served was overcooked slop. IFE had glitches but worked eventually. Overhead light didn't work. The larger people become and they are the less space BA seems to give anyone. The plus point was the politeness and professionalism of the cabin staff.,7,9th September 2014,United Kingdom
28,LHR - IST. T5 efficient as usual no queues at check in or security. Proceeded to the lounge where we relaxed and watched planes take off with glass of champagne. Boarded on time cabin crew friendly food was excellent and of course more champagne! The only thing that BA need to do (which I believe they are). Is to retire these old aircraft. The overall product is excellent but I think the cabin crew are let down by the ageing planes. (IFE not personal to you etc).,1,9th September 2014,United Kingdom
29,Just came back this morning on a flight from Dubai - BA106. I was not impressed. The cabin crew were just not friendly or helpful. The plane was very old and so were the crew tired and old. It look like they had just got the bad bunch of hostesses to manage this flight. BA was so particular before what's happened? The cabin was very hot and several times my wife asked about it and she was just ignored. The food was very quickly given out many of times people were missed. I have to ask for water a number of times. There was no genuine warmth. It was really like flying on a 3 class air lines. I'd love to fly BA and support them but this is appalling. I would not recommended this - Next time we are flying eremites. Pay the extra. BTW I noticed a number of other people have complained about this crew on the site too - seems consistently bad.,8,9th September 2014,United Kingdom
30,Flew Heathrow to Lyon return. Late flight on the way out but made up all but 10 mins of the time. Catering hardly worth the effort as comprised unappetising looking sandwich and one drink (not even tea or coffee on the outbound). Crew good and check in very good especially at Heathrow.,1,9th September 2014,United Kingdom
31,"We flew BA Gatwick to Grenada - first time with BA and only due to dates having been dedicated Virgin customers. We upgraded to ""Premium Economy"" and apart from the extra leg room (ideal for hubby but no odds to me at 5'3""). No benefit and total waste of money at almost double cost of upgrading with Virgin! Service was not great and food was awful - ""welcome on board"" drink in Premium Economy was orange juice in round plastic carton. Virgin offers orange juice or champagne in a glass. No idea what food was on offer as no menu provided and just a disgruntled ""chicken or beef"" response when asked stewardess. Old and tatty plane very small TVs. First and last time flying with BA - will change dates of holiday in future to ensure Virgin flight. Overall this over-priced upgrade didn't even compare with Virgin's economy service. I would strongly recommend don't waste your money or better still go with Virgin.",7,6th September 2014,United Kingdom
32,We flew indirect to Orlando and back - although the Miami/Orlando Orlando/Dallas and Dallas/London flights were with American Airlines (BA partners). The BA flight BA0209 was an old plane - the staff were great and food alright but the inflight entertainment was poor. Your own screen but no control over the films which all ran at different times. Having only flown Virgin and Singapore long haul BA rated way behind in all aspects. But that was nothing compared to the 737-300 we flew on with American Airlines from Dallas to London (BA 1531). I understand they are upgrading their fleet and I can see why having flown on the old plane we were unfortunate enough to fly on. The first 20 mins the plane stank like a toilet to the extent that the level of complaints and people standing in protest delayed take off. The inflight entertainment was a joke - a poor quality shared screen with 30 others two films and no choice. The crew were the unfriendliest I have ever encountered - no meet and greet or goodbyes. I thought booking through BA would ensure some level of quality and that they would demand a certain level of quality from their partners but unfortunately not. The worst flight ever (we are a family of five) and I will not be flying BA again.,2,6th September 2014,United Kingdom
33,LHR-PHL on a 787 Dreamliner seat 3K. I recommend seats 3K 3A 7A and 7K as you get aisle access and no other passengers have to climb over your feet when they leave their seat. The seat does feel a little claustrophobic compared to the upper deck of the 747 but it's very comfortable. The service was outstanding provided by an all male crew. The food quality has improved and so has the menu choices. The entertainment system is excellent as it's the Thales version on the 787 so the screens are bigger and the picture quality is better. The aircraft is also very quiet and the windows are a gimmick as you dim the windows rather than using the conventional blind.,1,6th September 2014,United Kingdom
34,"Travelled with BA from Rome to LHR. Staff at Rome were wonderful what a contrast to Heathrow. Entirely through my own fault I left my passport on the plane. When I asked for assistance three members of staff at the ""Helpdesk"" did anything but help. In itself this may not seem terrible having got myself into this situation but when they did finally deign to speak to me they told me the plane had left. I pointed out that the plane was still outside the terminal building. Their response was to ignore me. I finally found one very polite helpful well informed and kind person who did help. He was a trolley collector!",9,6th September 2014,United Kingdom
35,"London to Budapest on Club World-now I don't even mention the fact that my luggage hasn't arrived but the price for club world is a huge rip off! You can sit in the new ""slimline"" type of seat-which is thinner than the previous ones and some genius obviously thought that if they put in thinner seats why not squeeze in another 2 extra rows which means that the leg space is less than half as it was in the old days - so exactly like in economy class. So you pay 300 dollars more for 3 stale finger sandwich and a scone - what a bargain! Shame on you BA for the lousy service. Will never fly with them again.",4,6th September 2014,Australia
36,We flew Premium Economy on BA from Boston to London then London to Johannesburg. The seats were comfortable and the leg room was ample enough even for an over 6 feet passenger. The flight attendants were very attentive. Having flown Air France Premium economy in September 2013 I must say that the BA Premium Economy is much better than that in the French airline. It was really worth the extra money.,1,6th September 2014,United States
37,This was the first long-haul flight I'd taken for 20 years and I had high hopes that our London-Cape Town flight would be far more comfortable and pleasant than the budget carriers we've used for European trips. Boy was I wrong - we were squeezed in so tightly it was almost impossible to get out without injuring the poor person in the aisle seat and when the person in front reclined her seat my daughter could hardly move - we had to ask a flight attendant to make the person put their seat upright so that we could eat our meals. Even worse - I actually paid extra to choose our seats in advance thinking that a window and centre seat wouldn't be so bad. Come on British Airways - I know that at the moment they are the only airline offering a direct LHR-Cape Town service but they can do better than that.,8,6th September 2014,United Kingdom
38,Economy class on 28 Aug from London (LHR) to New York (JFK). Boarding was in Terminal 5 which I love as I can sit Gatwick - Orlando - Gatwick. Club world both ways. B777-200. Worth the money every penny of it. Crew on the outbound sector were fairly young and were a little rude seemed like everything was a chore. If you asked for something they hadn't got on the cart you couldn't have it. Polite enough but not really interested in the passengers. Crew inbound not being disrespectful but they were older and much nicer. Nothing was too much bother. If they hadn't got it there and then they got it right away for you. Lie-flat beds comfortable enough and baggage allowance of 3 bags per passenger is great for the shopping. Food and drinks are good however I do think the food on Thomson Airways in premium is better than BA club world. In form of scheduled carriers British Airways are ten times better than Virgin in so many ways and would fly with BA again no questions asked.,4,6th September 2014,United Kingdom
39,I'm regularly flying Perth-Hong Kong-London-Port of Spain these days. Perth to London is via Cathay Pacific business class which is excellent. Sadly I then have to swap to BA for London to Trinidad where 'Club World' is a euphemism for 'slum in the sky'. Cathay Pacific business class seats - 4 across the width of the aircraft. BA Club Slum - 8 across. If you're on a night flight that means tripping over people or being tripped over. Decor is abysmal service is average to poor. Seat and personal space design is lousy - but there's not much space to work with. Film choice is limited and the video screen is tiny and reminiscent of old analogue 625 lines TVs of the 80s. The overall impression is a dreary coffin-like space with minimal storage crummy entertainment average food and indifferent service. Don't do it! Fly with someone else - anyone else!,9,6th September 2014,Australia
40,Travelled LHR to Montreal 21st August 2014 and Montreal to LHR 1st September 2014. Aircraft used was a 777-200 with 4 classes. This sector does not normally offer a First service so business class passengers were spread throughout the First and Club World cabins. All flights were on time and the cabin crew were excellent especially on the outward leg. Check in and baggage reclaim were smooth and efficient. The lounges at Terminal 5 are looking tired and were rather dirty when we used them. Food choice was limited although I did enjoy the hot soup. Seating in BA is dated and even BA's new First Class seat is rather disappointing when compared to even business class on carries such as Emirates or Qatar. Food is well below par both in terms of quality and quantity. I know BA is struggling to make ends meet but ultimately it has to appreciate that people paying for premium cabins expect a certain experience and the seat and food make up a major element of that experience. I guess there is little competition for BA on the north Atlantic routes but it helps to explain why their share of routes to the Far East and Australia are diminishing.,1,6th September 2014,United Kingdom
41,Booked a British Airways holiday so that's flight and hotel from London City Airport to Florence Peretola Airport. Either it came up from the BA Rep. or my husband asked about an upgrade to Business Class and was told that would be an extra £300 for the return trip. As it was for a significant birthday he thought why not. Reasons why no-one should bother with this upgrade for this particular flight. 1) No separate BA lounge at either London City or Peretola Airports. 2) Faster boarding? Entirely pointless when you all have to get onto a bus to take you to the aeroplane at Florence. 3) Bigger seats and more leg room? They are small planes so the same throughout. 4) Luggage off first? No point when it takes over an hour to get through customs at Florence. 5) Better meal? Yes choice of meat or fish. Very nice but worth £75 each? The BA Rep should have told us about the lack of facilities and suggest a hotel upgrade instead. It was a perfectly pleasant flight the holiday was great but we paid an extra £300 for no reason whatsoever.,6,6th September 2014,United Kingdom
42,When will they learn. I flew BA to Dubai last Friday in business. Let me sum it up. Boring food surly crew dirty plane and expensive. Can the product get any more unimaginative. The inflight entertainment was out of touch with modern media the screen so poor I couldn't see the movie and gave up. The sandwiches that you get when you land are so awful that I think any frequent flyer is awfully fed up with them the crew make you feel that you are in their way and the plane is (again) horribly dirty. Coffee was spilt on all the wipeable areas around my seat. In business you expect better. It is just not an enjoyable or fun experience by any means and they never upgrade you or take care of their frequent flyers. When I can I chose a different airline.,5,6th September 2014,United Kingdom
43,Economy class on 28 Aug from London (LHR) to New York (JFK). Boarding was in Terminal 5 which I love as I can sit for some time in Caffe Nero have a coffee and watch airplanes take off or land. I choose BA just because of their Terminal 5. Boarding went quite smoothly and the flight was full. It took about 40 minutes till we actually took off after the time we were supposed to. The seat I had wasn't comfortable the cushion was moving and the seat wasn't firm. The inflight entertainment had a limited choices of movies which was disappointing and the screens were small and sometimes were not working. Flight attendants were all women who were polite and smiling they did their best to make it a pleasurable flight. Toilets were clean. The headphones were broken and I had to ask for new ones. We landed on time. It took 15 minutes till the plane could park and then another 30 minutes to get off because as the captain informed us there was a long line at immigration and we would have to wait for them to give us the go ahead. Inside Terminal 7 there was a huge line it took 2.5 hours to finally reach an officer. This was by far the most annoying and tiring experience I have had. To land at 10.45pm and get out at 2am is just too much. I will now choose an airline that lands in a terminal which can handle large numbers of passengers more effectively.,1,1st September 2014,United States
44,BA15 LHR to SIN B777-300ER First Class: nice a (four months old) but a few signs of wear already. The seat (2K) was reasonably private and reasonably quiet. Useful wardrobe with enough space to put various items and shoes but the seat has almost no other storage space. Things have to be left loose in the foot-well area. Footrest doubles as a buddy seat although his would be rather cramped I'd imagine. Seat itself fine and comfortable. Good enough to get reasonable sleep on a 12hr journey. Cabin lighting and temperature perfect. View of outside restricted by the angle of the seat - just when it is interesting (t/off and landing) you are strapped in and cannot see all the fun outside - the child in me I guess! Food and service excellent. The toilets - wow - a flimsy concertina door poor water supply into small bowl so not really good for brushing teeth. Middle-eastern airlines are so much better - BA really has to re-think. Overall BA First Class is equivalent to others Business class. Cabin crew very attentive - if only they had a better product to work with.,6,1st September 2014,United Kingdom
45,"Travelled as a family of four to the Maldives. Despite numerous requests many weeks in advance we didn't get seats together on the outbound journey. The plane was old and the entertainment system antiquated. This seems to be an issue on BA routes with little competition it was a similar story when we flew club to Mauritius. On that trip the entertainment system failed all together. On the return journey from Male I watched what I thought to be a three part crime drama called ""the tunnel"". Only after watching the third part did I discover that there was a fourth or more! Why? Why would you not have all the story? This experience aside many airlines have better entertainment systems in economy than the BA service in business on this route. When you are paying this kind of money to take two children business class you want good entertainment to keep them occupied. They don't need the space! Would also have been nice to sit together! Food was grim my ten year old son who normally devours everything ate nothing on both legs of the trip. A ten hour flight with travel at either end is a long time without food. There seemed to be a hurry to serve the food throw a bottle of water at you and then shut down service until an hour before arrival. On the outbound journey I pressed the service button after 15 minutes it self cancelled. Pressed again 15 minutes later it self cancelled. I returned my glass to the galley myself the staff were so busy chatting amongst themselves they didn't notice me. Presumably this is why they didn't see the service request either. On the return trip service was a little chaotic and well below standards you should expect. Food was equivalently poor. This is the second BA business class trip I've taken to the Maldives and each time I have been disappointed given the cost. I've also travelled economy on Emirates to Male which was actually better and business on Emirates which was fantastic. I know BA have monopoly on the direct route from Gatwick to Male but I will be going via Dubai on Emirates in future.",6,1st September 2014,United Kingdom
46,Boston return. Very quick check-in at Heathrow let down by slow fast track (but that's the airports fault). B gate lounge quiet nice refreshments-I don't think the children's games consoles have worked in the entire time T5 has been open. Short walk to boarding full plane left slightly early landed well ahead of schedule. Crew excellent worked hard throughout. Decent food as well (again). Entertainment out on new system good older system back not as good and screen not in best order. Return flight same comments pretty much except my wife's video system didn't work on way back so they just let her sit in first!. Keep it up BA.,1,1st September 2014,United Kingdom
47,"BKK-LHR-EDI-LHR-BKK Outbound flight up to standard but not above and beyond but this is standard in BA which cannot compare with the top tier airlines. Return flights similar. Faults lay in ground services at EDI and T5 in LHR the latter overcrowded and rather scruffy. Return flight had no magazines (""they forgot to load"") or individual bottled water (""they forgot to load""). Have a need to return to UK so will try an alternative (which is a night flight). Why did BA stop night flights last autumn?",10,1st September 2014,Thailand
48,LGW-MCO-LGW 11-25th August Economy Class. Got to the gate lounge to be told our seats has been reallocated to another seat this was the reason why - it was because there was a big family party that didn't want to separate - considering I paid a lot of money for my family to sit all together. Got on to the plane thinking it would be the same as Virgin Atlantic but no it wasn't it was an old plane tatty one as well. Food and drinks were limited on the whole 9 hour flight no snacks on board. The food was limited and when we got ours the people in front decide to recline there chairs in front so within that we have told hold our dinners luckily we didn't get burnt. Well sorry BA next time I am flying with VA!,7,1st September 2014,United Kingdom
49,LGW-Faro return 19th/26th Aug Economy 2 adults 2 children. Whole experience from Check In to arrival in Faro outstanding. As a regular traveller on this route have now got used to the ex BMI airbuses on this route the seating is perfectly comfortable despite the reduced seat pitch and have never had any problems when requesting more than one drink during the flight. The crew were fantastic in both directions and were totally service orientated from start to finish. Only one minor issue and that is the only one toilet at the rear for the whole economy cabin!,2,1st September 2014,United Kingdom
50,"I have flown twice with BA now in business class (to and from Delhi) and I have to say it has been absolutely poor! Me and a few colleagues flew out to New Delhi for a business trip. BA were the pioneers of aircraft's after all they did create The Concorde. Key word in that is ""were"" they've basically turned into a no frills airline. Allow me to explain: The blue worn carpets padded fabric seats with stains worn out grey plastic panels with little grains of grit and dirt get into and a TFT which had the same image quality as VHS tape! The decor looks like it was directly taken out of the 1980 film Airplane! You still get the odd knock on the legs when economy passengers are boarding then plane with hand luggage as there is no private space! Staff were fine but flying business class a customer should get a wow factor - and there was none. The plastic translucent slider that divides the seats had been battered from being shifted up and down when the crew serve the food and drinks. The toilets are exactly the same as economy except in Business class they stick a plastic flower in a glass. The food was OK but again nothing special. Normally its the little things that make the differences but with BA they need a total make over. For a flight that happens everyday from London to Delhi BA should be doing more. The decor of the plane matched the experience I got with BA dull. I won't be flying long haul with them again. My advice - avoid BA and before you book your flights have a look online at what other airlines can offer you.",10,1st September 2014,United Kingdom
